year,sport,event,gold_name,gold_noc,tie_gold,silver_name,silver_noc,tie_silver,bronze_name,bronze_noc,tie_bronze
2022,Alpine Skiing,"Slalom, Men",Clément Noël,FRA,False,Johannes Strolz,AUT,False,Sebastian Foss Solevaag,NOR,False
2022,Alpine Skiing,"Combined, Men",Johannes Strolz,AUT,False,Aleksander Aamodt Kilde,NOR,False,Jack Crawford,CAN,False
2022,Alpine Skiing,"Downhill, Women",Corinne Suter,SUI,False,Sofia Goggia,ITA,False,Nadia Delago,ITA,False
2022,Alpine Skiing,"Super G, Women",Lara Gut-Behrami,SUI,False,Mirjam Puchner,AUT,False,Michelle Gisin,SUI,False
2022,Alpine Skiing,"Giant Slalom, Women",Sara Hector,SWE,False,Federica Brignone,ITA,False,Lara Gut-Behrami,SUI,False
2022,Alpine Skiing,"Slalom, Women",Petra Vlhová,SVK,False,Katharina Liensberger,AUT,False,Wendy Holdener,SUI,False
2022,Alpine Skiing,"Combined, Women",Michelle Gisin,SUI,False,Wendy Holdener,SUI,False,Federica Brignone,ITA,False
2022,Alpine Skiing,"Team, Mixed",Austria,AUT,False,Germany,GER,False,Norway,NOR,False
2022,Biathlon,"Sprint, Men",Johannes Thingnes Bø,NOR,False,Quentin Fillon Maillet,FRA,False,Tarjei Bø,NOR,False
2022,Biathlon,"Pursuit, Men",Quentin Fillon Maillet,FRA,False,Tarjei Bø,NOR,False,Eduard Latypov,ROC,False
2022,Biathlon,"Mass Start, Men",Johannes Thingnes Bø,NOR,False,Martin Ponsiluoma,SWE,False,Vetle Sjåstad Christiansen,NOR,False
2022,Biathlon,"Individual, Men",Quentin Fillon Maillet,FRA,False,Anton Smolski,BLR,False,Johannes Thingnes Bø,NOR,False
2022,Biathlon,"Relay, Men",Norway,NOR,False,France,FRA,False,ROC,ROC,False
2022,Biathlon,"Sprint, Women",Marte Olsbu Røiseland,NOR,False,Elvira Öberg,SWE,False,Dorothea Wierer,ITA,False
2022,Biathlon,"Pursuit, Women",Marte Olsbu Røiseland,NOR,False,Elvira Öberg,SWE,False,Tiril Eckhoff,NOR,False
2022,Biathlon,"Mass Start, Women",Justine Braisaz-Bouchet,FRA,False,Tiril Eckhoff,NOR,False,Marte Olsbu Røiseland,NOR,False
2022,Biathlon,"Individual, Women",Denise Herrmann,GER,False,Anaïs Chevalier-Bouchet,FRA,False,Marte Olsbu Røiseland,NOR,False
2022,Biathlon,"Relay, Women",Sweden,SWE,False,ROC,ROC,False,Germany,GER,False
2022,Biathlon,"Relay, Mixed",Norway,NOR,False,France,FRA,False,ROC,ROC,False
2022,Bobsleigh,"Two, Men",Germany 1,GER,False,Germany 2,GER,False,Germany 3,GER,False
2022,Bobsleigh,"Four, Men",Germany 1,GER,False,Germany 2,GER,False,Canada 1,CAN,False
2022,Bobsleigh,"Two, Women",Germany 1,GER,False,Germany 2,GER,False,United States 1,USA,False
2022,Bobsleigh,"Monobob, Women",Kaillie Humphries,USA,False,Elana Meyers Taylor,USA,False,Christine de Bruin,CAN,False
2022,Cross Country Skiing,"Sprint, Men",Johannes Høsflot Klæbo,NOR,False,Federico Pellegrino,ITA,False,Aleksandr Terentyev,ROC,False
2022,Cross Country Skiing,"15 kilometres, Men",Iivo Niskanen,FIN,False,Aleksandr Bolshunov,ROC,False,Johannes Høsflot Klæbo,NOR,False
