year,event,noc,medal,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1952,"1,500 metres, Men",NED,silver,NLD,,,NOR,0,,
1952,"5,000 metres, Men",NED,silver,NLD,,,NOR,0,,
1952,"10,000 metres, Men",NED,silver,NLD,,,NOR,0,,
1952,"Slalom, Men",NOR,bronze,NOR,,,NOR,1,,
1952,"50 kilometres, Men",NOR,bronze,NOR,,,NOR,1,,
1952,"Individual, Men",NOR,bronze,NOR,,,NOR,1,,
1952,"1,500 metres, Men",NOR,bronze,NOR,,,NOR,1,,
1952,"5,000 metres, Men",NOR,bronze,NOR,,,NOR,1,,
1952,"500 metres, Men",NOR,bronze,NOR,,,NOR,1,,
1952,"Giant Slalom, Men",NOR,gold,NOR,,,NOR,1,,
1952,"18 kilometres, Men",NOR,gold,NOR,,,NOR,1,,
1952,"Individual, Men",NOR,gold,NOR,,,NOR,1,,
1952,"Large Hill, Individual, Men",NOR,gold,NOR,,,NOR,1,,
1952,"1,500 metres, Men",NOR,gold,NOR,,,NOR,1,,
1952,"5,000 metres, Men",NOR,gold,NOR,,,NOR,1,,
1952,"10,000 metres, Men",NOR,gold,NOR,,,NOR,1,,
1952,"Slalom, Men",NOR,silver,NOR,,,NOR,1,,
1952,"Relay, Men",NOR,silver,NOR,,,NOR,1,,
1952,"Large Hill, Individual, Men",NOR,silver,NOR,,,NOR,1,,
1952,"Two, Men",SUI,bronze,CHE,,,NOR,0,,
1952,"Four, Men",SUI,bronze,CHE,,,NOR,0,,
1952,"Relay, Men",SWE,bronze,SWE,,,NOR,0,,
1952,"Ice Hockey, Men",SWE,bronze,SWE,,,NOR,0,,
1952,"Large Hill, Individual, Men",SWE,bronze,SWE,,,NOR,0,,
1952,"10,000 metres, Men",SWE,bronze,SWE,,,NOR,0,,
1952,"Singles, Men",USA,bronze,USA,,,NOR,0,,
1952,"Giant Slalom, Women",USA,gold,USA,,,NOR,0,,
1952,"Slalom, Women",USA,gold,USA,,,NOR,0,,
1952,"Singles, Men",USA,gold,USA,,,NOR,0,,
1952,"500 metres, Men",USA,gold,USA,,,NOR,0,,
1952,"Two, Men",USA,silver,USA,,,NOR,0,,
1952,"Four, Men",USA,silver,USA,,,NOR,0,,
1952,"Singles, Women",USA,silver,USA,,,NOR,0,,
