year,event,medal,noc,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1972,"Pairs, Mixed",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"Ice Hockey, Men",gold,URS,RUS,,131909000.0,JPN,0,,18.69762284886998
1972,"Singles, Men",gold,GDR,DEU,3823.94032602696,78688452.0,JPN,0,8.249036668931058,18.18100696818652
1972,"Singles, Women",gold,GDR,DEU,3823.94032602696,78688452.0,JPN,0,8.249036668931058,18.18100696818652
1972,"Individual, Men",gold,GDR,DEU,3823.94032602696,78688452.0,JPN,0,8.249036668931058,18.18100696818652
1972,"Normal Hill, Individual, Men",gold,JPN,JPN,3031.43860570759,107188000.0,JPN,1,8.0167925731898,18.490094860036685
1972,"Large Hill, Individual, Men",gold,POL,POL,,33055650.0,JPN,0,,17.313703062752516
1972,"500 metres, Men",gold,FRG,DEU,3823.94032602696,78688452.0,JPN,0,8.249036668931058,18.18100696818652
1972,"1,500 metres, Men",gold,NED,NLD,4110.49164551948,13328593.0,JPN,0,8.321297922117061,16.405422135196105
1972,"5,000 metres, Men",gold,NED,NLD,4110.49164551948,13328593.0,JPN,0,8.321297922117061,16.405422135196105
1972,"10,000 metres, Men",gold,NED,NLD,4110.49164551948,13328593.0,JPN,0,8.321297922117061,16.405422135196105
1972,"500 metres, Women",gold,USA,USA,6094.01798986165,209896000.0,JPN,0,8.715062911602612,19.162122727915616
1972,"1,000 metres, Women",gold,FRG,DEU,3823.94032602696,78688452.0,JPN,0,8.249036668931058,18.18100696818652
1972,"1,500 metres, Women",gold,USA,USA,6094.01798986165,209896000.0,JPN,0,8.715062911602612,19.162122727915616
1972,"3,000 metres, Women",gold,NED,NLD,4110.49164551948,13328593.0,JPN,0,8.321297922117061,16.405422135196105
1976,"Downhill, Men",gold,AUT,AUT,5656.1451383787,7565525.0,AUT,1,8.640497868205216,15.839112301342562
1976,"Giant Slalom, Men",gold,SUI,CHE,10864.971231108,6302504.0,AUT,0,9.293299244836863,15.656457572712792
1976,"Slalom, Men",gold,ITA,ITA,4042.39482463789,55718260.0,AUT,0,8.304592573707211,17.835818478821885
1976,"Downhill, Women",gold,FRG,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Giant Slalom, Women",gold,CAN,CAN,8838.94710677652,23449808.0,AUT,0,9.08692304296979,16.97037286518978
1976,"Slalom, Women",gold,FRG,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Individual, Men",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
